"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Biesdonk";"2019 december";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"      90";"     270";"     230";"     930";"       2";"       6";"       6";"      22";"    4200";"    3270";"     930"
"Geeren-Zuid";"2019 december";"Breda                                   ";"Buurt   ";"BU07580103";"       3";"      60";"     270";"     190";"     660";"       2";"       9";"       6";"      21";"    3100";"    2430";"     670"
"Wisselaar";"2019 december";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"      60";"     230";"     230";"     700";"       2";"       7";"       7";"      20";"    3520";"    2830";"     700"
"Krogten";"2019 december";"Breda                                   ";"Buurt   ";"BU07580105";"       1";"       0";"      10";"      10";"      30";"       2";"       4";"       3";"      17";"     190";"     150";"      30"
"Geeren-Noord";"2019 december";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      50";"     190";"     160";"     470";"       2";"       8";"       7";"      21";"    2250";"    1780";"     480"
"Waterdonken";"2019 december";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      20";"      20";"      20";"      50";"       2";"       2";"       2";"       6";"     950";"     900";"      50"
"Breda Oost";"2019 december";"Breda                                   ";"Wijk    ";"WK075802  ";"       1";"     360";"     560";"     720";"    4190";"       2";"       3";"       4";"      20";"   20530";"   16330";"    4200"
"Brabantpark";"2019 december";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     160";"     370";"     380";"    1560";"       2";"       4";"       4";"      18";"    8900";"    7340";"    1560"
"Sportpark";"2019 december";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      50";"      10";"      30";"     750";"       2";"       0";"       1";"      26";"    2940";"    2190";"     750"
"Zandberg";"2019 december";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"      80";"      40";"      90";"     590";"       2";"       1";"       2";"      14";"    4230";"    3640";"     590"
"Heusdenhout";"2019 december";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"      80";"     150";"     220";"    1260";"       2";"       3";"       5";"      29";"    4350";"    3090";"    1260"
"Moleneind-Oost";"2019 december";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       2";"       0";"       0";"      35";"      60";"      40";"      20"
"Hoogeind";"2019 december";"Breda                                   ";"Buurt   ";"BU07580205";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      50";"      30";"      10"
"Breda Zuid-Oost";"2019 december";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     250";"     170";"     510";"    4500";"       2";"       1";"       3";"      28";"   16020";"   11510";"    4500"
"Blauwe Kei";"2019 december";"Breda                                   ";"Buurt   ";"BU07580300";"       1";"      60";"      30";"      70";"     640";"       2";"       1";"       2";"      21";"    3130";"    2490";"     650"
