"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2013 september";"Filmwijk";"Almere                                  ";"Buurt   ";"BU00340202";"       1";"     290";"     340";"     450";"     920";"       3";"       4";"       5";"      11";"    8520";"    7590";"     930"
"2013 december";"Filmwijk";"Almere                                  ";"Buurt   ";"BU00340202";"       1";"     320";"     340";"     450";"     920";"       4";"       4";"       5";"      11";"    8500";"    7580";"     930"
"2013 maart";"Danswijk";"Almere                                  ";"Buurt   ";"BU00340203";"       1";"     160";"     160";"     260";"     290";"       4";"       4";"       6";"       6";"    4440";"    4140";"     300"
"2013 juni";"Danswijk";"Almere                                  ";"Buurt   ";"BU00340203";"       1";"     170";"     160";"     260";"     290";"       4";"       4";"       6";"       7";"    4450";"    4150";"     300"
"2013 september";"Danswijk";"Almere                                  ";"Buurt   ";"BU00340203";"       1";"     180";"     150";"     260";"     290";"       4";"       3";"       6";"       7";"    4430";"    4120";"     310"
"2013 december";"Danswijk";"Almere                                  ";"Buurt   ";"BU00340203";"       1";"     210";"     160";"     270";"     320";"       5";"       4";"       6";"       7";"    4470";"    4150";"     320"
"2013 maart";"Parkwijk";"Almere                                  ";"Buurt   ";"BU00340204";"       1";"     140";"     130";"     250";"     620";"       3";"       3";"       5";"      13";"    4650";"    4020";"     630"
"2013 juni";"Parkwijk";"Almere                                  ";"Buurt   ";"BU00340204";"       1";"     140";"     140";"     260";"     640";"       3";"       3";"       5";"      14";"    4700";"    4060";"     640"
"2013 september";"Parkwijk";"Almere                                  ";"Buurt   ";"BU00340204";"       1";"     160";"     130";"     250";"     650";"       3";"       3";"       5";"      14";"    4700";"    4050";"     650"
"2013 december";"Parkwijk";"Almere                                  ";"Buurt   ";"BU00340204";"       1";"     180";"     130";"     260";"     650";"       4";"       3";"       6";"      14";"    4670";"    4020";"     650"
"2013 maart";"Verzetswijk";"Almere                                  ";"Buurt   ";"BU00340205";"       1";"      90";"      80";"     140";"     270";"       3";"       3";"       5";"       9";"    2900";"    2630";"     280"
"2013 juni";"Verzetswijk";"Almere                                  ";"Buurt   ";"BU00340205";"       1";"      90";"      80";"     140";"     270";"       3";"       3";"       5";"       9";"    2900";"    2620";"     280"
"2013 september";"Verzetswijk";"Almere                                  ";"Buurt   ";"BU00340205";"       1";"     100";"      80";"     150";"     270";"       3";"       3";"       5";"       9";"    2910";"    2640";"     280"
"2013 december";"Verzetswijk";"Almere                                  ";"Buurt   ";"BU00340205";"       1";"     100";"      80";"     140";"     270";"       4";"       3";"       5";"       9";"    2890";"    2620";"     280"
"2013 maart";"Waterwijk";"Almere                                  ";"Buurt   ";"BU00340206";"       1";"     230";"     170";"     460";"     640";"       4";"       3";"       7";"      10";"    6390";"    5750";"     640"
"2013 juni";"Waterwijk";"Almere                                  ";"Buurt   ";"BU00340206";"       1";"     240";"     180";"     460";"     670";"       4";"       3";"       7";"      10";"    6420";"    5750";"     670"
